Serial Number,Name,Symptoms
29,Deviated septum,"Obstruction of one or both nostrils. This blockage (obstruction) can make it difficult to breathe through the nostril or nostrils. You may notice this more when you have a cold (upper respiratory tract infection) or allergies that can cause your nasal passages to swell and narrow.,Nosebleeds. The surface of your nasal septum may become dry, increasing your risk of nosebleeds.,Facial pain. There is some debate about the possible nasal causes of facial pain. A possible cause of one-sided facial pain could be a severe deviated septum in which surfaces within the nose touch and cause pressure.,Noisy breathing during sleep. A deviated septum or swelling of the intranasal tissues can be one of the many reasons for noisy breathing during sleep.,Awareness of the nasal cycle. It is normal for the nose to alternate being obstructed on one side, then change to being obstructed on the other. This is called the nasal cycle. The nasal cycle is normal, but being aware of the nasal cycle isn't typical and can indicate nasal obstruction.,Preference for sleeping on a particular side. Some people may prefer to sleep on a particular side in order to optimize breathing through the nose at night if one nasal passage is narrowed.,"
30,Osteosarcoma,"Swelling near a bone,Bone or joint pain,Bone injury or bone break for no clear reason,"
31,Septic arthritis,"Symptoms & causes,Diagnosis & treatment,Doctors & departments,"
32,Pleurisy,"Chest pain that worsens when you breathe, cough or sneeze,Shortness of breath — because you are trying to minimize breathing in and out,A cough — only in some cases,A fever — only in some cases,"
33,Pulmonary atresia,"Blue- or gray-toned skin (cyanosis),Fast breathing or shortness of breath,Easily tiring or being fatigued,Feeding problems,"
34,Drug allergy,"Skin rash,Hives,Itching,Fever,Swelling,Shortness of breath,Wheezing,Runny nose,Itchy, watery eyes,"
35,Turner syndrome,"Large fluid collection on the back of the neck or other abnormal fluid collections (edema),Heart abnormalities,Abnormal kidneys,"
36,Polycystic kidney disease,"High blood pressure,Back or side pain,Headache,A feeling of fullness in your abdomen,Increased size of your abdomen due to enlarged kidneys,Blood in your urine,Kidney stones,Kidney failure,Urinary tract or kidney infections,"
37,Diabetic retinopathy,"Spots or dark strings floating in your vision (floaters),Blurred vision,Fluctuating vision,Impaired color vision,Dark or empty areas in your vision,Vision loss,"
38,Chest pain,"Pressure, fullness, burning or tightness in your chest,Crushing or searing pain that radiates to your back, neck, jaw, shoulders, and one or both arms,Pain that lasts more than a few minutes, gets worse with activity, goes away and comes back, or varies in intensity,Shortness of breath,Cold sweats,Dizziness or weakness,Nausea or vomiting,"
39,Optic neuritis,"Pain. Most people who develop optic neuritis have eye pain that's worsened by eye movement. Sometimes the pain feels like a dull ache behind the eye.,Vision loss in one eye. Most people have at least some temporary reduction in vision, but the extent of loss varies. Noticeable vision loss usually develops over hours or days and improves over several weeks to months. Vision loss is permanent in some people.,Visual field loss. Side vision loss can occur in any pattern, such as central vision loss or peripheral vision loss.,Loss of color vision. Optic neuritis often affects color perception. You might notice that colors appear less vivid than normal.,Flashing lights. Some people with optic neuritis report seeing flashing or flickering lights with eye movements.,"
40,Sore throat,"Pain or a scratchy sensation in the throat,Pain that worsens with swallowing or talking,Difficulty swallowing,Sore, swollen glands in your neck or jaw,Swollen, red tonsils,White patches or pus on your tonsils,A hoarse or muffled voice,"
41,Respiratory syncytial virus (RSV),"Congested or runny nose,Dry cough,Low-grade fever,Sore throat,Mild headache,"
42,Angelman syndrome,"Developmental delays, including no crawling or babbling at 6 to 12 months,Intellectual disability,No speech or minimal speech,Difficulty walking, moving or balancing well,Frequent smiling and laughter,Happy, excitable personality,Trouble going to sleep and staying asleep,"
43,Adult attention-deficit/hyperactivity disorder (ADHD),"Impulsiveness,Disorganization and problems prioritizing,Poor time management skills,Problems focusing on a task,Trouble multitasking,Excessive activity or restlessness,Poor planning,Low frustration tolerance,Frequent mood swings,Problems following through and completing tasks,Hot temper,Trouble coping with stress,"
44,Folliculitis,"Clusters of small red bumps or white-headed pimples that develop around hair follicles,Pus-filled blisters that break open and crust over,Itchy, burning skin,Painful, tender skin,A large swollen bump or mass,"
45,Child abuse,"Withdrawal from friends or usual activities,Changes in behavior — such as aggression, anger, hostility or hyperactivity — or changes in school performance,Depression, anxiety or unusual fears, or a sudden loss of self-confidence,An apparent lack of supervision,Frequent absences from school,Reluctance to leave school activities, as if he or she doesn't want to go home,Attempts at running away,Rebellious or defiant behavior,Self-harm or attempts at suicide,"
46,Soft tissue sarcoma,"
Chemotherapy
,
CT scan
,
MRI
,
Needle biopsy
,
Positron emission tomography scan
,
Radiation therapy
,
Ultrasound
,
X-ray
,"
47,Inflammatory breast cancer,"Rapid change in the appearance of one breast, over the course of several weeks,Thickness, heaviness or visible enlargement of one breast,Discoloration, giving the breast a red, purple, pink or bruised appearance,Unusual warmth of the affected breast,Dimpling or ridges on the skin of the affected breast, similar to an orange peel,Tenderness, pain or aching,Enlarged lymph nodes under the arm, above the collarbone or below the collarbone,Flattening or turning inward of the nipple,"
48,Polymyalgia rheumatica,"Aches or pain in your shoulders,Aches or pain in your neck, upper arms, buttocks, hips or thighs,Stiffness in affected areas, particularly in the morning or after being inactive for a time,Limited range of motion in affected areas,Pain or stiffness in your wrists, elbows or knees,"
49,Vulvodynia,"Burning,Soreness,Stinging,Rawness,Painful intercourse (dyspareunia),Throbbing,Itching,"
50,Hoarding disorder,"Excessively acquiring items that are not needed or for which there's no space,Persistent difficulty throwing out or parting with your things, regardless of actual value,Feeling a need to save these items, and being upset by the thought of discarding them,Building up of clutter to the point where rooms become unusable,Having a tendency toward indecisiveness, perfectionism, avoidance, procrastination, and problems with planning and organizing,"
51,Shingles,"Pain, burning, numbness or tingling,Sensitivity to touch,A red rash that begins a few days after the pain,Fluid-filled blisters that break open and crust over,Itching,"
52,Pseudotumor cerebri,"Often severe headaches that might originate behind your eyes,A whooshing sound in your head that pulses with your heartbeat,Nausea, vomiting or dizziness,Vision loss,Brief episodes of blindness, lasting a few seconds and affecting one or both eyes,Difficulty seeing to the side,Double vision,Seeing light flashes,Neck, shoulder or back pain,"
53,Hepatopulmonary syndrome,"Shortness of breath, especially when sitting or standing,Clubbing of the fingers, in which the fingertips spread out and become rounder than normal,Broken blood vessels under the skin (spider angioma),Bluish tinge of the lips and skin (cyanosis),"
54,Myocarditis,"
Cardiac catheterization
,
Chest X-rays
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Extracorporeal membrane oxygenation (ECMO)
,
Heart transplant
,
Holter monitor
,
MRI
,
Ventricular assist device
,"
55,Moyamoya disease,"Headache,Seizures,Weakness, numbness or paralysis in your face, arm or leg, typically on one side of your body,Visual disturbances,Difficulties with speaking or understanding others (aphasia),Developmental delays,Involuntary movements,"
56,Pulmonary atresia,"
Cardiac ablation
,
Cardiac catheterization
,
Coronary angioplasty and stents
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Pulmonary valve repair and replacement
,
X-ray
,"
57,Basal cell carcinoma,"A pearly white, skin-colored or pink bump that is translucent, meaning you can see a bit through the surface. Tiny blood vessels are often visible. In people with darker skin tones, the lesion may be darker but still somewhat translucent. The most common type of basal cell carcinoma, this lesion often appears on the face and ears. The lesion may rupture, bleed and scab over.,A brown, black or blue lesion — or a lesion with dark spots — with a slightly raised, translucent border.,A flat, scaly, reddish patch with a raised edge is more common on the back or chest. Over time, these patches can grow quite large.,A white, waxy, scar-like lesion without a clearly defined border, called morpheaform basal cell carcinoma, is the least common.,"
58,Staph infections,"
Boils. The most common type of staph infection is the boil, a pocket of pus that develops in a hair follicle or oil gland. The skin over the infected area usually becomes red and swollen.
If a boil breaks open, it will probably drain pus. Boils occur most often under the arms or around the groin or buttocks.
,Impetigo. This contagious, often painful rash can be caused by staph bacteria. Impetigo usually features large blisters that may ooze fluid and develop a honey-colored crust.,Cellulitis. Cellulitis — an infection of the deeper layers of skin — causes skin redness and swelling on the surface of your skin. Sores or areas of oozing discharge may develop, too.,Staphylococcal scalded skin syndrome. Toxins produced as a result of a staph infection may lead to staphylococcal scalded skin syndrome. Affecting mostly babies and children, this condition features a fever, a rash and sometimes blisters. When the blisters break, the top layer of skin comes off — leaving a red, raw surface that looks like a burn.,"
59,Antiphospholipid syndrome,"Blood clots in your legs (DVT). Signs of a DVT include pain, swelling and redness. These clots can travel to your lungs (pulmonary embolism).,Repeated miscarriages or stillbirths. Other complications of pregnancy include dangerously high blood pressure (preeclampsia) and premature delivery.,Stroke. A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.,Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage.,Rash. Some people develop a red rash with a lacy, net-like pattern.,"
60,Scabies,"Itching, often severe and usually worse at night,Thin, irregular burrow tracks made up of tiny blisters or bumps on your skin,"
61,Deep vein thrombosis (DVT),"Pain in your leg. The pain often starts in your calf and can feel like cramping or soreness.,Red or discolored skin on the leg.,A feeling of warmth in the affected leg.,"
62,Pediatric thrombocytopenia,"
Book: Mayo Clinic Family Health Book, 5th Edition
,"
63,Stage 4 prostate cancer,"Painful urination,Decreased force in the stream of urine,Blood in the semen,Bone pain,Swelling in the legs,Fatigue,"
64,Vocal cord paralysis,"A breathy quality to the voice,Hoarseness,Noisy breathing,Loss of vocal pitch,Choking or coughing while swallowing food, drink or saliva,The need to take frequent breaths while speaking,Inability to speak loudly,Loss of your gag reflex,Ineffective coughing,Frequent throat clearing,"
65,Burning mouth syndrome,"A burning or scalding sensation that most commonly affects your tongue, but may also affect your lips, gums, palate, throat or whole mouth,A sensation of dry mouth with increased thirst,Taste changes in your mouth, such as a bitter or metallic taste,Loss of taste,Tingling, stinging or numbness in your mouth,"
66,Bulimia nervosa,"Being preoccupied with your body shape and weight ,Living in fear of gaining weight,Repeated episodes of eating abnormally large amounts of food in one sitting,Feeling a loss of control during bingeing — like you can't stop eating or can't control what you eat,Forcing yourself to vomit or exercising too much to keep from gaining weight after bingeing,Using laxatives, diuretics or enemas after eating when they're not needed,Fasting, restricting calories or avoiding certain foods between binges,Using dietary supplements or herbal products excessively for weight loss,"
67,Menorrhagia (heavy menstrual bleeding),"Soaking through one or more sanitary pads or tampons every hour for several consecutive hours,Needing to use double sanitary protection to control your menstrual flow,Needing to wake up to change sanitary protection during the night,Bleeding for longer than a week,Passing blood clots larger than a quarter,Restricting daily activities due to heavy menstrual flow,Symptoms of anemia, such as tiredness, fatigue or shortness of breath,"
68,Granuloma annulare,"Localized. This is the most common type of granuloma annulare. The bump (lesion) borders are circular or semicircular, with a diameter up to 2 inches (5 centimeters). The reddish or skin-colored bumps occur most commonly on the hands, feet, wrists and ankles of young adults.,Generalized. Less commonly, adults experience this type, which causes itchy, reddish or skin-colored bumps on most of the body, including the trunk, arms and legs.,Under the skin. A type that usually affects young children is called subcutaneous granuloma annulare. It produces small, firm lumps under the skin, instead of a rash. The lumps form on the hands, shins and scalp.,"
69,Asthma,"Shortness of breath,Chest tightness or pain,Wheezing when exhaling, which is a common sign of asthma in children,Trouble sleeping caused by shortness of breath, coughing or wheezing,Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu,"
70,Dry socket,"Severe pain within a few days after a tooth extraction,Partial or total loss of the blood clot at the tooth extraction site, which you may notice as an empty-looking (dry) socket,Visible bone in the socket,Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face as the extraction,Bad breath or a foul odor coming from your mouth,Unpleasant taste in your mouth,"
71,Urinary incontinence,"Stress incontinence. Urine leaks when you exert pressure on your bladder by coughing, sneezing, laughing, exercising or lifting something heavy.,Urge incontinence. You have a sudden, intense urge to urinate followed by an involuntary loss of urine. You may need to urinate often, including throughout the night. Urge incontinence may be caused by a minor condition, such as infection, or a more-severe condition such as a neurologic disorder or diabetes.,Overflow incontinence. You experience frequent or constant dribbling of urine due to a bladder that doesn't empty completely.,Functional incontinence. A physical or mental impairment keeps you from making it to the toilet in time. For example, if you have severe arthritis, you may not be able to unbutton your pants quickly enough.,Mixed incontinence. You experience more than one type of urinary incontinence.,"
72,Diabetic ketoacidosis,"Excessive thirst,Frequent urination,Nausea and vomiting,Abdominal pain,Weakness or fatigue,Shortness of breath,Fruity-scented breath,Confusion,"
73,Germ cell tumors,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
74,Krabbe disease,"Feeding difficulties,Unexplained crying,Extreme irritability,Fever with no sign of infection,Declines in alertness,Delays in typical developmental milestones,Muscle spasms,Loss of head control,Frequent vomiting,"
75,Broken hand,"Severe pain that might worsen when gripping or squeezing or moving your hand,Swelling,Tenderness,Bruising,Obvious deformity, such as a crooked finger,Stiffness or inability to move your fingers or thumb,Numbness in your hand or fingers,"
76,Cataracts,"Clouded, blurred or dim vision,Increasing difficulty with vision at night,Sensitivity to light and glare,Need for brighter light for reading and other activities,Seeing ""halos"" around lights,Frequent changes in eyeglass or contact lens prescription,Fading or yellowing of colors,Double vision in a single eye,"
77,Enlarged heart,"
Cardiac catheterization
,
Chest X-rays
,
Coronary bypass surgery
,
CT scan
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Heart transplant
,
Implantable cardioverter-defibrillators (ICDs)
,
MRI
,
Pacemaker
,
Stress test
,
Ventricular assist device
,"
78,Lynch syndrome,"Colon cancer that occurs at a younger age, especially before age 50,A family history of colon cancer that occurs at a young age,A family history of cancer that affects the uterus (endometrial cancer),A family history of other related cancers, including ovarian cancer, kidney cancer, stomach cancer, small intestine cancer, liver cancer, sweat gland cancer (sebaceous carcinoma) and other cancers,"
79,Floor of the mouth cancer,"Mouth pain,Sores in your mouth that won't heal,Loose teeth,Pain when you swallow,Weight loss,Ear pain,Swelling in your neck that may hurt,White patches in your mouth that won't go away,"
80,Osgood-Schlatter disease,"Age. Osgood-Schlatter disease occurs during puberty's growth spurts. Age ranges differ by sex because girls enter puberty earlier than do boys. Osgood-Schlatter disease typically occurs in boys ages 12 to 14 and girls ages 10 to 13.,Sex. Osgood-Schlatter disease is more common in boys, but the gender gap is narrowing as more girls become involved with sports.,Sports. The condition happens most often with sports that involve running, jumping and swift changes in direction.,Flexibility. Tightness in the quadriceps muscles can increase the pull of the kneecap's tendon on the growth plate at the top of the shinbone.,"
81,Selective IgA deficiency,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
82,Avascular necrosis,"Joint or bone trauma. An injury, such as a dislocated joint, might damage nearby blood vessels. Cancer treatments involving radiation also can weaken bone and harm blood vessels. ,Fatty deposits in blood vessels. The fat (lipids) can block small blood vessels, reducing the blood flow that feeds bones.,Certain diseases. Medical conditions, such as sickle cell anemia and Gaucher's disease, also can cause diminished blood flow to bone.,"
83,Tongue cancer,"Symptoms & causes,Doctors & departments,Care at Mayo Clinic,"
84,Liver cancer,"
Ablation therapy
,
Bone scan
,
Chemotherapy
,
Chest X-rays
,
Cryoablation for cancer
,
CT scan
,
Liver biopsy
,
Liver transplant
,
MRI
,
Palliative care
,
Proton therapy
,
Radiation therapy
,
Radiofrequency ablation for cancer
,
Ultrasound
,"
85,Ingrown hair,"Small, solid, rounded bumps (papules),Small, pus-filled, blister-like lesions (pustules),Skin darkening (hyperpigmentation),Pain,Itching,Embedded hairs,"
86,Anal itching,"Anal itching is severe or persistent,You have anal bleeding or stool leakage,The anal area seems to be infected,You can't figure out what's causing a persistent itch,"
87,Neurodermatitis,"An itchy skin patch or patches,Leathery or scaly texture on the affected areas,A raised, rough patch or patches that are red or darker than the rest of your skin,"
88,Chemo brain,"Being unusually disorganized,Confusion,Difficulty concentrating,Difficulty finding the right word,Difficulty learning new skills,Difficulty multitasking,Feeling of mental fogginess,Short attention span,Short-term memory problems,Taking longer than usual to complete routine tasks,Trouble with verbal memory, such as remembering a conversation,Trouble with visual memory, such as recalling an image or list of words,"
89,Postherpetic neuralgia,"Pain that lasts three months or longer after the shingles rash has healed. The associated pain has been described as burning, sharp and jabbing, or deep and aching.,Sensitivity to light touch. People with the condition often can't bear even the touch of clothing on the affected skin (allodynia).,Itching and numbness. Less commonly, postherpetic neuralgia can produce an itchy feeling or numbness.,"
90,Breast cysts,"A smooth, easily movable round or oval lump with distinct edges (which typically, though not always, indicates it's benign),Nipple discharge that may be clear, yellow, straw colored or dark brown ,Breast pain or tenderness in the area of the breast lump,Increase in breast lump size and breast tenderness just before your period,Decrease in breast lump size and resolution of other symptoms after your period,"
91,Epidermolysis bullosa,"Fragile skin that blisters easily, especially on the hands and feet,Nails that are thick or don't form,Blisters inside the mouth and throat,Thickened skin on the palms and soles of the feet,Scalp blistering, scarring and hair loss (scarring alopecia),Thin-appearing skin (atrophic scarring),Tiny white skin bumps or pimples (milia),Dental problems, such as tooth decay from poorly formed enamel,Difficulty swallowing (dysphagia),Itchy, painful skin,"
92,Brachial plexus injury,"A feeling like an electric shock or a burning sensation shooting down your arm,Numbness and weakness in your arm,"
93,Bruxism (teeth grinding),"Teeth grinding or clenching, which may be loud enough to wake up your sleep partner,Teeth that are flattened, fractured, chipped or loose,Worn tooth enamel, exposing deeper layers of your tooth,Increased tooth pain or sensitivity,Tired or tight jaw muscles, or a locked jaw that won't open or close completely,Jaw, neck or face pain or soreness,Pain that feels like an earache, though it's actually not a problem with your ear,Dull headache starting in the temples,Damage from chewing on the inside of your cheek,Sleep disruption,"
94,Grand mal seizure,"Tonic phase. Loss of consciousness occurs, and the muscles suddenly contract and cause the person to fall down. This phase tends to last about 10 to 20 seconds.,Clonic phase. The muscles go into rhythmic contractions, alternately flexing and relaxing. Convulsions usually last one to two minutes or less.,"
95,Lupus nephritis,"Blood in your urine,Foamy urine (due to excess protein in urine),High blood pressure,Swelling in your hands, ankles or feet,High levels of a waste product called creatinine in your blood,"
96,Patent ductus arteriosus (PDA),"Poor eating, which leads to poor growth,Sweating with crying or eating,Persistent fast breathing or breathlessness,Easy tiring,Rapid heart rate,"
97,Dysarthria,"Slurred speech,Slow speech,Inability to speak louder than a whisper or speaking too loudly,Rapid speech that is difficult to understand,Nasal, raspy or strained voice,Uneven or abnormal speech rhythm,Uneven speech volume,Monotone speech,Difficulty moving your tongue or facial muscles,"
98,Sheehan's syndrome,"Difficulty breast-feeding or an inability to breast-feed,No menstrual periods or infrequent menstruation,Inability to regrow shaved pubic hair,Slowed mental function, weight gain and difficulty staying warm as a result of an underactive thyroid (hypothyroidism),Low blood pressure,Low blood sugar,Fatigue,Irregular heartbeat,Breast shrinkage,"
99,Leukemia,"Fever or chills,Persistent fatigue, weakness,Frequent or severe infections,Losing weight without trying,Swollen lymph nodes, enlarged liver or spleen,Easy bleeding or bruising,Recurrent nosebleeds,Tiny red spots in your skin (petechiae),Excessive sweating, especially at night,Bone pain or tenderness,"
100,Swimmer's ear,"Itching in your ear canal,Slight redness inside your ear,Mild discomfort that's made worse by pulling on your outer ear (pinna or auricle) or pushing on the little ""bump"" in front of your ear (tragus),Some drainage of clear, odorless fluid,"
101,Renal artery stenosis,"High blood pressure that begins suddenly or worsens without explanation,High blood pressure that begins before age 30 or after age 50,"
102,Soft tissue sarcoma,"A noticeable lump or swelling,Pain, if a tumor presses on nerves or muscles,"
103,Cutaneous T-cell lymphoma,"Round patches of skin that may be raised or scaly and might be itchy,Patches of skin that appear lighter in color than surrounding skin,Lumps that form on the skin and may break open,Enlarged lymph nodes,Hair loss,Thickening of the skin on the palms of the hands and soles of the feet,A rash-like skin redness over the entire body that is intensely itchy,"
104,Arteriovenous fistula,"Purplish, bulging veins that you can see through your skin, similar to varicose veins,Swelling in the arms or legs,Decreased blood pressure,Fatigue,Heart failure,"
105,Small bowel prolapse (enterocele),"
Pelvic exam
,"
106,Clubfoot,"The top of the foot is usually twisted downward and inward, increasing the arch and turning the heel inward.,The foot may be turned so severely that it actually looks as if it's upside down.,The affected leg or foot may be slightly shorter.,The calf muscles in the affected leg are usually underdeveloped.,"
107,Congenital heart defects in children,"
Cardiac catheterization
,
Chest X-rays
,
Echocardiogram
,
Electrocardiogram (ECG or EKG)
,
Heart transplant
,"
108,Severe acute respiratory syndrome (SARS),"Fever of 100.5 F (38 C) or higher,Dry cough,Shortness of breath,"
109,Liver disease,"Skin and eyes that appear yellowish (jaundice),Abdominal pain and swelling,Swelling in the legs and ankles,Itchy skin,Dark urine color,Pale stool color,Chronic fatigue,Nausea or vomiting,Loss of appetite,Tendency to bruise easily,"
110,Acute coronary syndrome,"Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning,Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw,Nausea or vomiting,Indigestion,Shortness of breath (dyspnea),Sudden, heavy sweating (diaphoresis),Lightheadedness, dizziness or fainting,Unusual or unexplained fatigue,Feeling restless or apprehensive,"
111,Anal fistula,"
Book: Mayo Clinic Family Health Book, 5th Edition
,
Newsletter: Mayo Clinic Health Letter — Digital Edition
,"
112,Traveler's diarrhea,"Symptoms & causes,Diagnosis & treatment,"
113,Illness anxiety disorder,"Being preoccupied with having or getting a serious disease or health condition,Worrying that minor symptoms or body sensations mean you have a serious illness,Being easily alarmed about your health status,Finding little or no reassurance from doctor visits or negative test results,Worrying excessively about a specific medical condition or your risk of developing a medical condition because it runs in your family,Having so much distress about possible illnesses that it's hard for you to function,Repeatedly checking your body for signs of illness or disease,Frequently making medical appointments for reassurance — or avoiding medical care for fear of being diagnosed with a serious illness,Avoiding people, places or activities for fear of health risks,Constantly talking about your health and possible illnesses,Frequently searching the internet for causes of symptoms or possible illnesses,"
114,Atrioventricular canal defect,"Difficulty breathing or rapid breathing,Wheezing,Fatigue,Lack of appetite,Poor weight gain,Pale skin color,Bluish discoloration of the lips and skin,Excessive sweating,Irregular or rapid heartbeat,Swelling in the legs, ankles and feet (edema),"
115,Anterior prolapse (cystocele),"A feeling of fullness or pressure in your pelvis and vagina,In some cases, a bulge of tissue in your vagina that you can see or feel,Increased pelvic pressure when you strain, cough, bear down or lift,Problems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence),"
116,Cryptosporidium infection,"Watery diarrhea,Dehydration,Lack of appetite,Weight loss,Stomach cramps or pain,Fever,Nausea,Vomiting,"
117,Cervical spondylosis,"Tingling, numbness and weakness in your arms, hands, legs or feet,Lack of coordination and difficulty walking,Loss of bladder or bowel control,"
118,Exercise headaches,"Are usually described as throbbing,Occur during or after strenuous exercise,Affect both sides of the head in most cases,"
119,Tricuspid atresia,"Blue tinge to the skin and lips (cyanosis),Difficulty breathing,Tiring easily, especially during feedings,Slow growth and poor weight gain,"
120,Uveitis,"Eye redness,Eye pain,Light sensitivity,Blurred vision,Dark, floating spots in your field of vision (floaters),Decreased vision,"
